,Neighborhood,Latitude,Longitude
0,Albany Park,41.9719367,-87.7161739
1,Altgeld Gardens,41.65486375,-87.6004461535836
2,Andersonville,41.9771393,-87.6692734155796
3,Archer Heights,41.8114215,-87.7261651
4,Armour Square,41.8400333,-87.633107
5,Ashburn,41.7475332,-87.7111628
6,Auburn Gresham,41.750474,-87.6643042
7,Avalon Park,41.7450346,-87.5886584
8,Avondale,41.9389208,-87.711168
9,Avondale Gardens,41.9389208,-87.711168
10,Back of the Yards,41.8075332,-87.6661628
11,Balmoral,41.9765732,-87.885763
12,Belmont Central,41.9397964,-87.6533276
13,Belmont Gardens,41.9397964,-87.6533276
14,Belmont Terrace,41.9397964,-87.6533276
15,Beverly,41.7181532,-87.6717674
16,Beverly View,41.7181532,-87.6717674
17,Beverly Woods,41.6833861,-87.6812436
18,Big Oaks,41.9992963,-87.7540899
19,Bowmanville,41.9721331,-87.6937374
20,Boystown,41.9438833,-87.6492669
21,Brainerd,41.7328116,-87.6583828
22,Brickyard,41.92944385,-87.7881309187717
23,Bridgeport,41.8379385,-87.651028
24,Brighton Park,41.8189217,-87.6989421
25,Bronzeville,41.8308667,-87.6264399
26,Bucktown,41.91070685,-87.6801225791199
27,Budlong Woods,41.98336825,-87.6963394466974
28,Buena Park,41.9578099,-87.6528331
29,Burnside,41.7300345,-87.596714
30,Cabrini–Green,41.8988049,-87.6409372
31,Calumet Heights,41.7300347,-87.5792134
32,Canaryville,41.8147556,-87.6403288
33,Chatham,41.7411454,-87.6125481
34,Chicago Lawn,41.7750332,-87.6964408
35,Chinatown,41.8516579,-87.6331383
36,Chrysler Village,41.7800088,-87.7405553
37,Clarendon Park,41.96327455,-87.6488399065922
38,Clearing East,41.780588,-87.7733881
39,Clearing West,41.780588,-87.7733881
40,Cottage Grove,41.7804143,-87.605978250691
41,Cragin,41.9203096,-87.7561691
42,Crestline,41.7442705,-87.7258555
43,Dearborn Homes,41.84073675,-87.6282485640617
44,Dearborn Park,41.8665526,-87.6289538706335
45,Douglas Park,41.8600662,-87.6993546596392
46,Dunning,41.952809,-87.7964493
47,East Beverly,41.7181532,-87.6717674
48,East Chatham,41.7411454,-87.6125481
49,East Garfield Park,41.8808657,-87.7028328
