,Neighborhood,Latitude,Longitude
0,Arleta,34.2413266,-118.4322047
1,Arts District,32.7883249,-96.7993474
2,Baldwin Hills,39.5667728,-76.4632972
3,Baldwin Village,30.5677527,-87.7324392
4,Benedict Canyon,34.0494418,-118.4004298
5,Beverly Glen,34.1077855,-118.4456361
6,Beverly Hills Post Office,32.72193255,-96.8905369941545
7,Beverlywood,34.0466335,-118.395038
8,Brentwood,51.6202687,0.3020742
9,Brentwood Glen,29.7426121,-95.7542928876277
10,Brookside,45.3873032,-63.2419064
11,Cahuenga Pass,34.1482481,-118.3614452
12,Canterbury Knolls,-43.5597221,172.319758
13,Castle Heights,36.6159757,-78.3086079
14,Central City,-43.53208755,172.631433845874
15,Chatsworth,34.2595715,-118.6023247
16,Cheviot Hills,39.8956157,-83.7607596
17,Civic Center,37.7795939,-122.4167938
18,Crestwood Hills,35.9286916,-84.0754677
19,Del Rey,36.656079,-119.599926418969
20,Eagle Rock,33.4723736,-118.6053477
21,East Hollywood,39.05714435,-94.458664917771
22,Edendale,-46.31452,168.78518
23,Elysian Heights,34.08289815,-118.234413440192
24,Elysian Valley,44.1988205,-93.6733978
25,Exposition Park,42.5185263,-94.1924910942074
26,Fairfax,38.8462236,-77.3063733
27,Florence,43.7698712,11.2555757
28,Franklin Hills,-42.23642,145.97019
29,Garvanza,34.1195777,-118.180626452618
30,Gramercy Park,40.73792525,-73.9859323962158
31,Green Meadows,38.9676106,-76.9785867
32,Hancock Park,34.06372875,-118.356103559582
33,Harbor Gateway,46.975958,-123.803683912729
34,Harvard Park,40.5971703,-111.8591006
35,Highland Park,42.1816919,-87.8003438
36,Hollywood,34.093214,-118.3196124
37,Hollywood Hills,34.0795976,-81.0187018
38,Jefferson Park,41.9697375,-87.7631179
39,Kinney Heights,40.7326599,-74.1914759
40,Ladera,6.2543838,-75.5477429
41,Lake Balboa,34.1811656,-118.495236001433
42,Larchmont,40.9278769,-73.7517983
43,Leimert Park,34.007702,-118.3320627
44,Little Armenia,34.1009789,-118.3125662
45,Little Tokyo,34.0481568,-118.241261294469
46,Manchester Square,-34.60107385,150.399733198633
47,Marina Peninsula,24.4951462,54.4096659
48,Melrose Hill,46.0829678,-61.2997259
49,Mid-Wilshire,34.0619429,-118.2987306
50,Mission Hills,32.7529512,-117.1835214
51,Monterey Hills,37.3165251,-79.9180941
52,Mount Washington,44.27046,-71.3035311
53,North Hollywood,34.1729044,-118.3740371
54,North University Park,40.8477331,-73.9185607836037
55,Outpost Estates,29.8333112,-95.5198698369007
56,Pacoima,34.2625025,-118.427027
57,Panorama City,34.2242902,-118.4453745
58,Pico-Union,16.833333,120.35
59,Playa del Rey,33.9550828,-118.4367496
60,Porter Ranch,34.28787585,-118.561610450412
61,Reseda,34.2011156,-118.5364742
62,Rose Hills,14.5752045,121.1473118
63,San Pedro,-12.1684944,-77.0294966
64,Shadow Hills,34.6524891,-117.4533837
65,Sherman Village,43.1445413,-89.3710964
66,Skid Row,34.0440571,-118.2438507
67,"South Central, Historic",39.9974945,-81.7342558
68,South Robertson,-32.9379466,-60.6688892
69,Studio City,34.1483989,-118.3961877
70,Sunset Junction,34.0926493,-118.2807954
71,Sylmar,34.3076252,-118.4492148
72,Terminal Island,33.7451061,-118.263022016084
73,Toluca Lake,34.1467883,-118.349106740545
74,Tujunga,34.252225,-118.2884105
75,University Park,40.8087493,-77.8585662
76,Valley Glen,40.3089581,-80.6853558
77,Van Nuys,34.1866581,-118.448729
78,Vermont Knolls,44.373409,-72.7163232
79,Vermont Square,34.00013975,-118.295890410078
80,Victor Heights,34.9334505,-82.2123343
81,Village Green,25.06465705,-77.3101849393051
82,Warner Center,34.1811457,-118.5974421
83,West Adams,40.828446,-89.373329
84,Westdale,43.3878475,-75.8151893
85,West Hills,56.5921226,-2.7582519
86,West Los Angeles,34.0463986,-118.448135
87,Westwood,40.3059999,-121.0057931
88,Whitley Heights,35.5555816,-78.386242
89,Wilmington,39.7459468,-75.546589
90,Wilshire Park,40.6007813,-111.8688232
91,Winnetka,42.1080703,-87.7365286
92,Yucca Corridor,36.1763323,-115.1354302
