,Neighborhood,Latitude,Longitude
0,Allerton,40.8661111,-73.8505556
1,Alphabet City,40.7251022,-73.9795833
2,Annadale,40.5445496,-74.1765324
3,Arden Heights,40.5576295,-74.1886086467958
4,Arlington,40.6323257,-74.1651437
5,Arrochar,40.5984379,-74.0726412
6,Arverne,40.5934173,-73.7895462
7,Astoria,40.7720145,-73.9302673
8,Auburndale,40.7614516,-73.7897239
9,Baisley Park,40.68537625,-73.7826666783483
10,Bath Beach,40.6018495,-74.000501
11,Bathgate,40.6018495,-74.000501
12,Battery Park City,40.7110166,-74.0169369
13,Bay Ridge,40.630188,-74.0271902
14,Bay Terrace,40.5552778,-74.1341667
15,Baychester,40.8612222,-73.8412865
16,Bayside,40.7684351,-73.7770774
17,Bayswater,40.6102778,-73.7672222
18,Bedford Park,40.8700999,-73.8856912
19,Bedford-Stuyvesant,40.6834364,-73.9412488
20,Beechhurst,40.7914903,-73.8045781
21,Belle Harbor,40.577552,-73.8485768
22,Bellerose,40.7327778,-73.7177778
23,Belmont,40.8552778,-73.8863889
24,Bensonhurst,40.6049772,-73.9934061
25,Bergen Beach,40.6203822,-73.9068033
26,Bloomfield,40.6126039,-74.1781995
27,Boerum Hill,40.68562615,-73.9841706580728
28,Borough Park,40.633993,-73.9968059
29,Breezy Point,40.5562395,-73.9267179035117
30,Briarwood,40.7104843,-73.8112112003062
31,Brighton Beach,40.57964365,-73.9611108105961
32,Bronx River,40.85048545,-73.8404035580209
33,Bronxdale,40.8506558,-73.8665241
34,Brooklyn Heights,40.69608485,-73.9950278391265
35,Brooklyn Navy Yard,40.70341085,-73.9699679965206
36,Brookville,40.6585883,-73.7462181909482
37,Brownsville,40.6672357,-73.9067979
38,Bruckner,40.8266667,-73.8286111
39,Bulls Head,40.6070484,-74.1620879
40,Bushwick,40.6942696,-73.9187482
41,Cambria Heights,40.6945474,-73.7384653
42,Canarsie,40.643715,-73.9006921
43,Carroll Gardens,40.6784201,-73.9948021
44,Castle Hill,40.8189076,-73.8499209
45,Castleton Corners,40.6131597,-74.1223647
46,Charleston,40.5367719,-74.2373672
47,Chelsea,40.7464906,-74.0015283
48,Chinatown,40.7164913,-73.9962504
49,City Island,40.847456,-73.7864663715554
50,City Line,40.6762251,-73.8869623
51,Claremont,40.8398756,-73.9073276260106
52,Clason Point,40.8147164,-73.8599648
53,Clifton,40.6201041,-74.0770857
54,Clinton,40.7644228,-73.9923918
55,Clinton Hill,40.6897222,-73.9652778
56,Co-op City,40.8738889,-73.8294444
57,Cobble Hill,40.6875,-73.9980556
58,College Point,40.7876014,-73.8459682
59,Concord,40.6081599,-74.0843081
60,Concourse,40.8742173,-73.8904095308222
61,Concourse Village,40.82386815,-73.9211809121883
62,Coney Island,40.575789,-73.985145
63,Corona,40.7469593,-73.8601456
64,Crotona Park,40.8389019,-73.8938645115504
65,Crown Heights,40.667471,-73.9435662
66,Cunningham Heights,40.7351973,-73.7679362312199
67,Cypress Hills,40.6770477,-73.8912474
68,Ditmars,40.77158165,-73.90710835
69,Ditmas Village,40.6384789,-73.9614003365293
70,Dongan Hills,40.5979271,-74.0980274
71,Douglaston,40.768713,-73.7470765
72,Dumbo,40.7029052,-73.9901167
73,Dyker Heights,40.6204716,-74.0116668
74,East Elmhurst,40.7612123,-73.8651358
75,East Flatbush,40.6537148,-73.9304151
76,East Flushing,40.7043902,-73.9299803
77,East Gravesend,40.5961338,-73.9739426
78,East Harlem,40.7947222,-73.9425
79,East New York,40.6667702,-73.8823583
80,East Tremont,40.8453781,-73.8909693
81,East Village,40.7292688,-73.9873613
82,Eastchester,40.8884329,-73.8281895
83,Edenwald,40.8859786,-73.8450032997951
84,Edgemere,40.596365,-73.767905
85,Egbertville,40.5786514,-74.1314637274916
86,Elm Park,40.6314925,-74.1487544
87,Elmhurst,40.7365804,-73.8783932
88,Eltingville,40.5453831,-74.1656988
89,Emerson Hill,40.6085851,-74.0945642
90,Erasmus,40.64978,-73.949465
91,Far Rockaway,40.6053825,-73.7551326
92,Farragut,40.69918995,-73.9817419542442
93,Fieldston,40.8944444,-73.9033333
94,Financial District,40.7076124,-74.009378
